id,resource_type,locator,translatable_string
66686ce7-31ad-4475-b16e-84e8b332e4df,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""anything_else""].steps[step=""step_001""].output.generic[0].values[0].text","""Acho que não entendi. Reformule sua pergunta."""
477f55d3-cfe0-4df8-9284-a1d81bb48b0b,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""anything_else""].steps[step=""step_002""].output.generic[0].values[0].text",""""""
978251d2-dc11-4122-84f8-adce27664850,ACTION_TITLE,"workspace.actions[action=""anything_else""].title","""No action matches"""
a1302e3a-5f80-4fbf-a0ac-769e65536eb4,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""fallback""].steps[step=""digression_failure""].output.generic[0].values[0].text","""Desculpe, não pude confirmar se você queria retornar ao tópico anterior, deixe-me conectar a um agente."""
1808eb35-5489-4ee3-92f2-c742beb56f95,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_AVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""digression_failure""].resolver[type=""connect_to_agent""].response.agent_available.message","""Vamos mandá-lo para um agente disponível."""
36eaae68-4276-41de-9927-caf4c07c71a2,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_UNAVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""digression_failure""].resolver[type=""connect_to_agent""].response.agent_unavailable.message","""Não há agentes disponíveis neste momento. Quando houver um disponível, conectaremos você."""
5d00d0a2-c11e-4f5b-8d0a-4a8fbda1bddc,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_HUMAN_AGENT_MSG,"workspace.actions[action=""fallback""].steps[step=""digression_failure""].resolver[type=""connect_to_agent""].response.message_to_human_agent",""""""
195958e9-8777-4482-a504-739fdaf17927,ACTION_STEP_CONDITION_SCALAR,"workspace.actions[action=""fallback""].steps[step=""digression_failure""].condition.eq[1].scalar","""Failed to confirm topic return"""
55243597-3823-4ad1-b667-25ee6004da6b,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""fallback""].steps[step=""step_001""].output.generic[0].values[0].text","""Acho que não entendi. Eu posso conectar você a um agente."""
b964300b-e2fc-415a-accd-99fc156b870c,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_AVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_001""].resolver[type=""connect_to_agent""].response.agent_available.message","""Vamos mandá-lo para um agente disponível."""
cb48fc39-5bfe-46ca-a4e4-56061aaa2420,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_UNAVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_001""].resolver[type=""connect_to_agent""].response.agent_unavailable.message","""Não há agentes disponíveis neste momento. Quando houver um disponível, conectaremos você."""
342ecb7b-e8c6-4cb0-8c0a-0d14514307df,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_HUMAN_AGENT_MSG,"workspace.actions[action=""fallback""].steps[step=""step_001""].resolver[type=""connect_to_agent""].response.message_to_human_agent",""""""
99a2ea03-a2d8-4519-bf92-4a084341240b,ACTION_STEP_CONDITION_SCALAR,"workspace.actions[action=""fallback""].steps[step=""step_001""].condition.eq[1].scalar","""Step validation failed"""
de5374c0-3a2f-469e-bbc0-b8fbfcc28c43,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""fallback""].steps[step=""step_002""].output.generic[0].values[0].text","""Desculpe não poder ajudá-lo. Vou conectá-lo a um agente imediatamente."""
1fd67bb3-6472-4e63-8a9e-8b665b197ee6,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_AVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_002""].resolver[type=""connect_to_agent""].response.agent_available.message","""Vamos mandá-lo para um agente disponível."""
